entry_z,exit_z,drift_limit,adverse_z_stop,max_hold_bars,require_turn,total_profit_units,num_trades,win_rate,avg_profit_units,max_drawdown_units,short_trade_profit,long_trade_profit,robust_score
2.0,0.3,None,0.5,180,True,5367.525952499998,158,0.5886075949367089,33.971683243670874,639.4569575000023,3717.3486474999963,1650.177305000002,4887.933234374997
2.0,0.4,None,0.5,180,True,4929.3632125,159,0.5911949685534591,31.002284355345914,672.0640050000011,3470.0934249999964,1459.269787500004,4425.315208749999
1.8,0.3,None,0.5,180,True,4786.933397500005,204,0.5196078431372549,23.465359791666693,663.718649999998,3767.6967149999973,1019.2366825000081,4289.144410000007
2.0,0.3,None,0.8,180,True,4786.313627499997,133,0.6691729323308271,35.987320507518774,758.6895200000026,3568.179727499998,1218.133899999999,4217.296487499995
2.0,0.5,None,0.5,180,True,4718.026025,162,0.6049382716049383,29.123617438271605,747.6669325000021,3505.715037499999,1212.310987500001,4157.275825624998
2.0,0.3,None,1.1,180,True,4726.323854999998,120,0.7166666666666667,39.38603212499998,781.5208175000025,3442.0912199999975,1284.2326350000003,4140.183241874996
1.8,0.5,None,0.5,180,True,4565.417062500003,209,0.5454545454545454,21.84410077751198,715.9818949999999,3807.886162499998,757.5309000000052,4028.4306412500036
2.0,0.4,None,0.8,180,True,4415.34843,134,0.6716417910447762,32.95036141791045,791.2965675000014,3320.924504999998,1094.4239250000019,3821.876004374999
1.8,0.4,None,0.5,180,True,4227.859092500008,205,0.5219512195121951,20.62370289024394,671.2021699999977,3438.5916549999974,789.2674375000106,3724.4574650000095
2.0,0.4,None,1.1,180,True,4302.9882925,122,0.7131147540983607,35.270395840163935,814.1278650000013,3194.8359974999976,1108.1522950000026,3692.3923937499994
2.0,0.3,None,0.5,None,True,4501.348429999999,149,0.5771812080536913,30.210392147651,1112.0024225000016,3444.9163374999953,1056.4320925000038,3667.346613124998
2.0,0.3,None,None,180,True,4286.548104999997,110,0.7363636363636363,38.96861913636361,840.8788225000026,3361.4225174999974,925.1255874999997,3655.888988124995
2.0,0.4,None,0.5,None,True,4454.3894125,153,0.5816993464052288,29.113656290849672,1162.6156500000006,3408.191942499995,1046.1974700000046,3582.427674999999
2.0,0.5,None,0.8,180,True,4221.435095,137,0.6642335766423357,30.813394854014597,866.8994950000024,3395.188112500001,826.2469824999989,3571.260473749998
